小微企业ID,诉讼地位,审理机关,涉案事由,公告类型,日期类别,具体日期
Q01908,原告/上诉人,上海市奉贤区人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年11月
Q01908,被申请人,苏州市相城区劳动人事争议仲裁委员会,签订劳动合同,开庭信息,开庭时间,2012年3月
Q01909,原审被告,江苏省苏州市中级人民法院,机动车交通事故责任纠纷,开庭信息,开庭时间,2015年11月
Q01909,,江苏省苏州市吴中区人民法院,租赁合同纠纷,开庭信息,开庭时间,2010年9月
Q01911,被告,江苏省张家港市人民法院,买卖合同纠纷,审理进度,立案时间,2015年3月
Q01918,原告,江苏省张家港市人民法院,劳务合同纠纷,审理进度,立案时间,2015年1月
Q01921,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年3月
Q01921,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2014年9月
Q01925,申请人,江苏省苏州工业园区人民法院,,裁判文书,送达时间,2017年12月
Q01925,申请人:被告,江苏省苏州工业园区人民法院,,送达诉状副本及开庭传票,送达时间,2017年10月
Q01925,被申请人,江苏省苏州工业园区人民法院,,其他司法送达,立案时间,2017年10月
Q01925,被告,江苏省苏州工业园区人民法院,,起诉状副本及开庭传票,送达时间,2017年8月
Q01925,申请人,江苏省苏州工业园区人民法院,,起诉状副本及开庭传票,送达时间,2017年8月
Q01925,申请人:被告,江苏省苏州工业园区人民法院,,起诉状副本及开庭传票,送达时间,2017年7月
Q01925,原审被告,江苏省苏州市中级人民法院,民间借贷纠纷,开庭信息,开庭时间,2016年11月
Q01925,原告,江苏省苏州市吴江区人民法院,,裁判文书,送达时间,2016年11月
Q01925,原告,江苏省苏州市吴江区人民法院,,送达信息,送达时间,2016年8月
Q01925,被告,江苏省苏州工业园区人民法院,,起诉状副本及开庭传票,送达时间,2016年7月
Q01925,被告,江苏省苏州市吴江区人民法院,,通知公告,送达时间,2016年7月
Q01925,当事人,江苏省苏州工业园区人民法院,,送达信息,送达时间,2016年4月
Q01925,当事人,江苏省苏州市吴江区人民法院,,起诉状副本及开庭传票,送达时间,2016年4月
Q01925,当事人,江苏省苏州市吴江区人民法院,,裁判文书,送达时间,2016年3月
Q01925,当事人,江苏省苏州工业园区人民法院,,裁判文书,送达时间,2015年12月
Q01925,当事人,江苏省苏州市吴江区人民法院,,诉状副本及开庭传票,送达时间,2015年11月
Q01925,当事人,江苏省苏州市吴江区人民法院,,裁判文书,送达时间,2015年11月
Q01925,当事人,江苏省苏州工业园区人民法院,,诉状副本及开庭传票,送达时间,2015年7月
Q01925,当事人,江苏省苏州市吴江区人民法院,,诉状副本及开庭传票,送达时间,2015年7月
Q01925,被告,江苏省苏州市吴江区人民法院,金融借款合同纠纷,开庭信息,开庭时间,2015年6月
Q01925,被告,江苏省苏州市吴江区人民法院,民间借贷纠纷,审理进度,立案时间,2015年4月
Q01925,被告,江苏省苏州市吴江区人民法院,建设工程施工合同纠纷,审理进度,立案时间,2015年3月
Q01925,被告,江苏省张家港市人民法院,建设工程施工合同纠纷,审理进度,立案时间,2015年3月
Q01925,被告,江苏省张家港市人民法院,股权转让纠纷,审理进度,立案时间,2015年2月
Q01928,被告,江苏省苏州工业园区人民法院,,开庭信息,开庭时间,2014年11月
Q01937,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年6月
Q01937,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2011年11月
Q01944,原告,江苏省张家港市人民法院,居间合同纠纷,审理进度,立案时间,2015年4月
Q01948,被上诉人,江苏省苏州市中级人民法院,广告合同纠纷,开庭信息,开庭时间,2017年11月
Q01959,被告,江苏省苏州市吴江区人民法院,机动车交通事故责任纠纷,审理进度,立案时间,2015年3月
Q01972,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2015年8月
Q01983,原告,河南省孟州市人民法院,河南飞孟金刚石公司诉太仓美华公司买卖合同纠纷一案,开庭信息,开庭时间,2016年3月
Q01984,当事人,江苏省昆山市人民法院,,裁判文书,送达时间,2013年3月
Q01984,当事人,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2012年8月
Q01990,原告,江苏省苏州市姑苏区人民法院,,送达信息,送达时间,2016年4月
Q01990,当事人,江苏省苏州市姑苏区人民法院,,裁判文书,送达时间,2015年12月
Q01990,被告,江苏省常熟市人民法院,金融借款合同纠纷,审理进度,立案时间,2014年8月
Q01996,当事人,江苏省无锡市滨湖区人民法院,,开庭信息,开庭时间,2018年4月
Q01996,申请人,江苏省无锡市滨湖区人民法院,,起诉状副本及开庭传票,送达时间,2017年12月
Q01996,当事人,江苏省无锡市滨湖区人民法院,,开庭信息,开庭时间,2017年12月
Q01996,申请人,昆山市劳动人事争议仲裁委员会,,送达仲裁文书,送达时间,2017年10月
Q01996,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年6月
Q01996,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年5月
Q01996,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年3月
Q01996,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年2月
Q01996,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2015年5月
Q01999,,江苏省苏州市相城区人民法院,,执行文书,送达时间,2017年4月
Q01999,当事人,江苏省苏州市相城区人民法院,,裁判文书,送达时间,2015年3月
Q01999,被告,江苏省苏州市相城区人民法院,金融借款合同纠纷,审理进度,立案时间,2014年6月
Q02004,申请人,江苏省苏州工业园区人民法院,,送达诉状副本及开庭传票,送达时间,2016年2月
Q02004,当事人,江苏省苏州工业园区人民法院,,送达信息,送达时间,2015年9月
Q02004,申请人,江苏省苏州工业园区人民法院,,送达裁判文书,送达时间,2015年9月
Q02004,当事人,江苏省苏州市相城区人民法院,,裁判文书,送达时间,2015年6月
Q02004,当事人,江苏省苏州工业园区人民法院,,裁判文书,送达时间,2015年6月
Q02004,当事人,江苏省苏州工业园区人民法院,,诉状副本及开庭传票,送达时间,2015年3月
Q02004,上诉人,江苏省张家港市人民法院,担保追偿权纠纷,审理进度,立案时间,2015年2月
Q02004,当事人,江苏省苏州市相城区人民法院,,诉状副本及开庭传票,送达时间,2015年1月
Q02004,当事人,江苏省常熟市人民法院,,裁判文书,送达时间,2015年1月
Q02004,当事人,江苏省苏州工业园区人民法院,,诉状副本及开庭传票,送达时间,2014年12月
Q02004,当事人,江苏省苏州工业园区人民法院,,裁判文书,送达时间,2014年11月
Q02004,当事人,江苏省苏州工业园区人民法院,,诉状副本及开庭传票,送达时间,2014年11月
Q02004,当事人,江苏省苏州工业园区人民法院,,开庭信息,开庭时间,2014年10月
Q02004,当事人,江苏省常熟市人民法院,,诉状副本及开庭传票,送达时间,2014年10月
Q02004,被告,江苏省张家港市人民法院,金融借款合同纠纷,审理进度,立案时间,2014年8月
Q02004,当事人,江苏省苏州市相城区人民法院,,诉状副本及开庭传票,送达时间,2014年8月
Q02004,当事人,江苏省苏州市姑苏区人民法院,,送达裁判文书,送达时间,2014年7月
Q02004,当事人,江苏省常熟市人民法院,,诉状副本及开庭传票,送达时间,2014年7月
Q02004,被告,江苏省张家港市人民法院,金融借款合同纠纷,审理进度,立案时间,2014年6月
Q02004,被告,江苏省张家港市人民法院,金融借款合同纠纷,审理进度,立案时间,2014年5月
Q02004,当事人,江苏省苏州市姑苏区人民法院,,送达诉状副本及开庭传票,送达时间,2014年4月
Q02011,申请人,江苏省太仓市人民法院,,送达裁判文书,送达时间,2018年1月
Q02011,被告,江苏省太仓市人民法院,民间借贷纠纷,开庭信息,开庭时间,2017年12月
Q02011,当事人,江苏省太仓市人民法院,,送达诉状副本及开庭传票,送达时间,2017年9月
Q02011,被告,江苏省太仓市人民法院,民间借贷纠纷,开庭信息,开庭时间,2017年5月
Q02011,当事人,江苏省太仓市人民法院,,送达裁判文书,送达时间,2016年2月
Q02011,被告,江苏省太仓市人民法院,民间借贷纠纷,开庭信息,开庭时间,2016年2月
Q02011,当事人,江苏省太仓市人民法院,,送达诉状副本及开庭传票,送达时间,2015年10月
Q02036,当事人,江苏省宿迁市宿豫区人民法院,,裁判文书,送达时间,2015年8月
Q02036,当事人,江苏省宿迁市宿豫区人民法院,,公示催告,送达时间,2015年4月
Q02037,申请人,江苏省张家港市人民法院,,起诉状副本及开庭传票,送达时间,2017年11月
Q02037,当事人,江苏省张家港市人民法院,,裁判文书,送达时间,2017年10月
Q02037,原告,江苏省张家港市人民法院,承揽合同纠纷,开庭信息,开庭时间,2017年9月
Q02037,原告,江苏省张家港市人民法院,行政案件,开庭信息,开庭时间,2017年9月
Q02037,被告,山东省寿光市人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年2月
Q02046,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2011年7月
Q02051,申请人,江苏省苏州工业园区人民法院,,送达执行文书,送达时间,2018年1月
Q02051,原告,江苏省苏州工业园区人民法院,,起诉状、上诉状副本,送达时间,2017年3月
Q02051,当事人,江苏省苏州工业园区人民法院,,送达信息,送达时间,2016年6月
Q02063,被告,上海市青浦区人民法院,机动车交通事故责任纠纷,开庭信息,开庭时间,2017年12月
Q02069,被告/被上诉人,上海市闵行区人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年4月
Q02077,被告,上海市宝山区人民法院,提供劳务者受害责任纠纷,开庭信息,开庭时间,2017年3月
Q02081,当事人,张家港市劳动人事争议仲裁委员会,,送达仲裁文书,送达时间,2015年10月
Q02091,原告,江苏省苏州市吴中区人民法院,,诉状副本及开庭传票,送达时间,2015年7月
Q02124,原告,江苏省张家港市人民法院,买卖合同纠纷,审理进度,立案时间,2015年1月
Q02135,被上诉人,江苏省苏州市中级人民法院,房屋租赁合同纠纷,开庭信息,开庭时间,2016年4月
Q02145,被上诉人,江苏省苏州市中级人民法院,民间借贷纠纷,开庭信息,开庭时间,2015年5月
Q02145,上诉人,江苏省张家港市人民法院,民间借贷纠纷,审理进度,立案时间,2015年3月
Q02145,原告,江苏省苏州工业园区人民法院,,诉状副本及开庭传票,送达时间,2014年9月
Q02149,被上诉人,江苏省苏州市中级人民法院,破产撤销权纠纷,开庭信息,开庭时间,2017年12月
Q02152,被告,江苏省张家港市人民法院,提供劳务者受害责任纠纷,审理进度,立案时间,2015年1月
Q02155,原告,江苏省常熟市人民法院,买卖合同纠纷,审理进度,立案时间,2015年3月
Q02156,被告,上海市嘉定区人民法院,涉嫌虚开增值税专用发票、用于骗取出口退税、抵扣税款发票,开庭信息,开庭时间,2017年3月
Q02160,当事人,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2016年10月
Q02164,原告,江苏省苏州市吴中区人民法院,委托合同纠纷,审理进度,立案时间,2015年2月
Q02164,原告/上诉人,上海市金山区人民法院,买卖合同纠纷,开庭信息,开庭时间,2014年11月
Q02180,申请人,浙江省仙居县人民法院,,公示催告,送达时间,2018年3月
Q02180,申请人,浙江省仙居县人民法院,,审理进度,立案时间,2018年1月
Q02188,原告,江苏省太仓市人民法院,买卖合同纠纷,开庭信息,开庭时间,2018年1月
Q02217,原告,江苏省太仓市人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年5月
Q02224,原告,上海市奉贤区人民法院,买卖合同纠纷,开庭信息,开庭时间,2018年1月
Q02224,被告人,江苏省昆山市人民法院,虚开增值税专用发票罪,开庭信息,开庭时间,2017年12月
Q02224,上诉人,安徽省马鞍山市中级人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年3月
Q02262,当事人,江苏省南通市崇川区人民法院,,诉状副本及开庭传票,送达时间,2014年8月
Q02262,被告,江苏省南通市崇川区人民法院,票据返还请求权纠纷,开庭信息,开庭时间,2014年7月
Q02268,,江苏省苏州工业园区人民法院,,送达执行文书,送达时间,2018年1月
Q02268,原告,江苏省南京市浦口区人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年9月
Q02268,申请人:原告,江苏省南京市浦口区人民法院,,送达裁判文书,送达时间,2017年9月
Q02268,申请人:原告,江苏省南京市浦口区人民法院,,送达诉状副本及开庭传票,送达时间,2017年6月
Q02268,当事人,江苏省苏州市吴中区人民法院,,裁判文书,送达时间,2017年5月
Q02268,被告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2017年1月
Q02268,当事人,江苏省苏州市吴中区人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年8月
Q02268,被告,江苏省太仓市人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年3月
Q02268,被告,江苏省苏州市吴中区人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年10月
Q02268,原告,江苏省无锡市惠山区人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年2月
Q02268,被告,江苏省苏州市吴中区人民法院,买卖合同纠纷,审理进度,立案时间,2015年1月
Q02286,被告,江苏省太仓市人民法院,劳动争议,开庭信息,开庭时间,2017年7月
Q02308,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年5月
Q02316,申请人,江苏省苏州市吴中区人民法院,,裁判文书,送达时间,2017年8月
Q02316,被告,江苏省苏州市吴中区人民法院,,起诉状副本及开庭传票,送达时间,2017年3月
Q02316,申请人,苏州市吴中区劳动人事争议仲裁院,,送达仲裁文书,送达时间,2014年12月
Q02316,,苏州市吴中区劳动人事争议仲裁院,,送达仲裁文书,送达时间,2014年12月
Q02316,申请人,苏州市吴中区劳动人事争议仲裁委员会,,送达仲裁文书,送达时间,2014年8月
Q02322,申请人:被告,江苏省苏州市姑苏区人民法院,,起诉状副本及开庭传票,送达时间,2018年3月
Q02330,,浙江省嘉兴市秀洲区人民法院,,申请公示催告,送达时间,2016年2月
Q02337,原告,江苏省常熟市人民法院,,诉状副本及开庭传票,送达时间,2015年4月
Q02337,原告,江苏省常熟市人民法院,,诉状副本及开庭传票,送达时间,2014年12月
Q02337,原告,江苏省常熟市人民法院,租赁经营合同纠纷,审理进度,立案时间,2014年8月
Q02341,申请人,昆山市劳动人事争议仲裁委员会,,送达仲裁文书,送达时间,2016年7月
Q02341,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年6月
Q02341,申请人,昆山市劳动人事争议仲裁委员会,,送达仲裁文书,送达时间,2016年4月
Q02341,,昆山市劳动人事争议仲裁委员会,,送达仲裁文书,送达时间,2016年4月
Q02348,当事人,江苏省苏州市吴中区人民法院,,执行文书,送达时间,2014年12月
Q02348,当事人,江苏省苏州市吴中区人民法院,,送达裁判文书,送达时间,2014年1月
Q02348,,江苏省苏州市吴中区人民法院,民间借贷纠纷,开庭信息,开庭时间,2013年6月
Q02348,当事人,江苏省苏州市吴中区人民法院,,诉状副本及开庭传票,送达时间,2013年3月
Q02348,当事人,江苏省苏州市吴中区人民法院,,起诉状副本及开庭传票,送达时间,2012年7月
Q02348,,江苏省苏州市吴中区人民法院,民间借贷纠纷,开庭信息,开庭时间,2012年3月
Q02348,当事人,江苏省苏州市中级人民法院,,起诉状副本及开庭传票,送达时间,2012年1月
Q02359,原告,江苏省苏州市吴中区人民法院,行政案件,开庭信息,开庭时间,2016年12月
Q02365,当事人,江苏省南通市崇川区人民法院,,裁判文书,送达时间,2017年9月
Q02365,被告,江苏省南通市崇川区人民法院,买卖合同纠纷,开庭信息,开庭时间,2017年6月
Q02367,被告,江苏省太仓市人民法院,著作权权属纠纷,开庭信息,开庭时间,2018年2月
Q02370,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年6月
Q02378,被告/被上诉人,上海市第一中级人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年8月
Q02378,原告/上诉人,上海市松江区人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年4月
Q02378,原告/上诉人,上海市松江区人民法院,买卖合同纠纷,开庭信息,开庭时间,2014年3月
Q02379,当事人,江苏省张家港市人民法院,,公示催告,送达时间,2013年2月
Q02390,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2017年5月
Q02390,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2016年8月
Q02390,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2016年5月
Q02390,原告,江苏省太仓市人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年1月
Q02390,原告,江苏省太仓市人民法院,民间借贷纠纷,开庭信息,开庭时间,2016年1月
Q02390,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2015年12月
Q02390,原告/上诉人,江苏省海安县人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2015年11月
Q02390,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2015年10月
Q02390,原告,江苏省太仓市人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年9月
Q02390,原告,江苏省太仓市人民法院,,裁判文书,送达时间,2015年7月
Q02390,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2015年6月
Q02390,原告,江苏省太仓市人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年5月
Q02390,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2015年5月
Q02390,原告,江苏省太仓市人民法院,,裁判文书,送达时间,2015年5月
Q02390,原告,江苏省太仓市人民法院,,诉状副本及开庭传票,送达时间,2015年3月
Q02390,原告,江苏省张家港市人民法院,买卖合同纠纷,审理进度,立案时间,2015年3月
Q02390,原告,江苏省张家港市人民法院,分期付款买卖合同纠纷,审理进度,立案时间,2015年3月
Q02390,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2015年2月
Q02390,原告,江苏省太仓市人民法院,,诉状副本及开庭传票,送达时间,2015年1月
Q02390,原告,江苏省太仓市人民法院,,开庭信息,开庭时间,2014年12月
Q02390,原告,江苏省张家港市人民法院,分期付款买卖合同纠纷,审理进度,立案时间,2014年11月
Q02390,原告,江苏省太仓市人民法院,,开庭信息,开庭时间,2014年10月
Q02390,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2014年9月
Q02390,原告,江苏省太仓市人民法院,买卖合同纠纷,开庭信息,开庭时间,2014年8月
Q02390,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2014年8月
Q02390,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2014年5月
Q02408,当事人,江苏省常熟市人民法院,,破产文书,送达时间,2017年3月
Q02416,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2014年10月
Q02417,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2015年6月
Q02421,被告,湖北省武汉市东西湖区人民法院,,审理进度,立案时间,2017年12月
Q02423,当事人,江苏省苏州市吴中区人民法院,,执行文书,送达时间,2015年1月
Q02423,当事人,江苏省苏州市吴中区人民法院,,送达裁判文书,送达时间,2014年1月
Q02423,原告,江苏省苏州市吴中区人民法院,,诉状副本及开庭传票,送达时间,2013年8月
Q02425,被告/被告人/被上诉人/被申请人,浙江省杭州市滨江区人民法院,侵害商标权纠纷,开庭信息,开庭时间,2015年4月
Q02434,申请人,广东省东莞市中级人民法院,申请撤销仲裁裁决,审理进度,立案时间,2017年8月
Q02434,当事人,广东省东莞市中级人民法院,申请撤销仲裁裁决,审理进度,立案时间,2017年8月
Q02434,当事人,广东省东莞市第三人民法院,,开庭信息,开庭时间,2016年4月
Q02434,当事人,广东省东莞市第三人民法院,承揽合同纠纷,审理进度,立案时间,2016年3月
Q02444,原告,江苏省苏州市虎丘区人民法院,买卖合同纠纷,审理进度,立案时间,2014年12月
Q02467,当事人,江苏省苏州工业园区人民法院,,裁判文书,送达时间,2012年12月
Q02476,上诉人,江苏省苏州市中级人民法院,提供劳务者受害责任纠纷,开庭信息,开庭时间,2017年11月
Q02478,上诉人,江苏省昆山市人民法院,,裁判文书,送达时间,2016年1月
Q02478,当事人,江苏省昆山市人民法院,,诉状副本及开庭传票,送达时间,2015年9月
Q02498,,江苏省苏州工业园区人民法院,,送达执行文书,送达时间,2018年2月
Q02498,申请人,江苏省昆山市人民法院,,裁判文书,送达时间,2017年8月
Q02501,被告,江苏省太仓市人民法院,修理合同纠纷,开庭信息,开庭时间,2017年3月
Q02501,被告,江苏省太仓市人民法院,金融借款合同纠纷,开庭信息,开庭时间,2016年5月
Q02501,被告,上海市宝山区人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年2月
Q02501,被告,浙江省瑞安市人民法院,金融借款合同纠纷,开庭信息,开庭时间,2016年2月
Q02501,被告,江苏省太仓市人民法院,金融借款合同纠纷,开庭信息,开庭时间,2015年12月
Q02501,被告,江苏省太仓市人民法院,建设工程施工合同纠纷,开庭信息,开庭时间,2015年11月
Q02501,被告,浙江省瑞安市人民法院,,审理进度,立案时间,2015年11月
Q02501,申请人,浙江省温州市瓯海区人民法院,,送达裁判文书,送达时间,2015年10月
Q02501,被告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2015年10月
Q02501,被告,浙江省温州市鹿城区人民法院,,审理进度,立案时间,2015年9月
Q02501,被告,浙江省温州市鹿城区人民法院,,审理进度,立案时间,2015年8月
Q02501,被告,浙江省瑞安市人民法院,金融借款合同纠纷,立案信息,立案时间,2015年8月
Q02501,被告,江苏省太仓市人民法院,定作合同纠纷,开庭信息,开庭时间,2015年7月
Q02501,当事人,浙江省温州市瓯海区人民法院,,诉状副本及开庭传票,送达时间,2015年6月
Q02501,被告,浙江省温州市瓯海区人民法院,,审理进度,立案时间,2015年5月
Q02501,被告,浙江省瑞安市人民法院,金融不良债权追偿纠纷,立案信息,立案时间,2015年4月
Q02501,当事人,江苏省太仓市人民法院,,诉状副本及开庭传票,送达时间,2015年3月
Q02501,被告,江苏省张家港市人民法院,金融借款合同纠纷,审理进度,立案时间,2015年2月
Q02501,被告,浙江省瑞安市人民法院,,审理进度,立案时间,2015年1月
Q02501,被告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2014年5月
Q02502,被告,上海市普陀区人民法院,融资租赁合同纠纷,开庭信息,开庭时间,2017年11月
Q02502,被告,上海市普陀区人民法院,融资租赁合同纠纷,开庭信息,开庭时间,2016年11月
Q02502,,江苏省苏州工业园区人民法院,,送达诉状副本及开庭传票,送达时间,2016年10月
Q02512,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2017年8月
Q02512,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2017年3月
Q02543,被告,江苏省常熟市人民法院,,开庭信息,开庭时间,2016年4月
Q02551,原告,江苏省常熟市人民法院,,诉状副本及开庭传票,送达时间,2013年3月
Q02566,被告,浙江省杭州市余杭区人民法院,,审理进度,立案时间,2018年4月
Q02567,被告,江苏省张家港市人民法院,买卖合同纠纷,审理进度,立案时间,2015年4月
Q02568,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2015年6月
Q02571,当事人,河南省泌阳县人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年10月
Q02574,原告,江苏省太仓市人民法院,行政案件,开庭信息,开庭时间,2018年2月
Q02574,原告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2018年2月
Q02577,被告,浙江省嘉善县人民法院,劳动争议,开庭信息,开庭时间,2017年7月
Q02577,第三人,浙江省嘉善县人民法院,,审理进度,立案时间,2017年6月
Q02581,当事人,江苏省苏州工业园区人民法院,,公示催告,送达时间,2013年9月
Q02581,当事人,安徽省芜湖市镜湖区人民法院,,公示催告,送达时间,2013年9月
Q02582,原告,浙江省玉环县人民法院,,审理进度,立案时间,2018年2月
Q02582,被上诉人,江苏省苏州市中级人民法院,票据返还请求权纠纷,开庭信息,开庭时间,2017年11月
Q02582,当事人,江苏省常熟市人民法院,,公示催告,送达时间,2016年10月
Q02587,当事人,湖北省武汉市江汉区人民法院,,裁判文书,送达时间,2015年11月
Q02587,当事人,湖北省武汉市江汉区人民法院,,公示催告,送达时间,2015年8月
Q02587,申请人,湖北省武汉市江汉区人民法院,,审理进度,立案时间,2015年7月
Q02592,被告,武汉海事法院,,审理进度,立案时间,2018年3月
Q02592,被告,武汉海事法院,,审理进度,立案时间,2018年2月
Q02595,被告,江苏省太仓市人民法院,买卖合同纠纷,开庭信息,开庭时间,2016年4月
Q02595,原告,江苏省太仓市人民法院,确认劳动关系纠纷,开庭信息,开庭时间,2015年8月
Q02605,当事人,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2016年6月
Q02605,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2013年3月
Q02613,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2016年7月
Q02614,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2014年2月
Q02615,原审(一审),浙江省宁波市中级人民法院,,审理进度,立案时间,2017年11月
Q02615,被告,浙江省宁波市北仑区人民法院,,审理进度,立案时间,2017年5月
Q02643,原告,江苏省昆山市人民法院,行政案件,开庭信息,开庭时间,2018年3月
Q02643,原告,江苏省张家港市人民法院,借款合同纠纷,审理进度,立案时间,2015年3月
Q02652,当事人,江苏省苏州市吴中区人民法院,侵权责任纠纷,开庭信息,开庭时间,2016年10月
Q02652,原审第三人,江苏省苏州市中级人民法院,工商行政登记,开庭信息,开庭时间,2016年5月
Q02666,原告,浙江省台州市黄岩区人民法院,,审理进度,立案时间,2015年8月
Q02668,申请人:被告,江苏省苏州工业园区人民法院,,送达裁判文书,送达时间,2018年1月
Q02672,被告,浙江省嘉善县人民法院,定作合同纠纷,开庭信息,开庭时间,2017年6月
Q02672,被告,浙江省嘉善县人民法院,,审理进度,立案时间,2017年5月
Q02674,被告,江苏省太仓市人民法院,分期付款买卖合同纠纷,开庭信息,开庭时间,2017年10月
Q02674,当事人,江苏省太仓市人民法院,,送达诉状副本及开庭传票,送达时间,2017年7月
Q02674,被告,安徽省合肥高新技术产业开发区人民法院,装饰装修合同纠纷,开庭信息,开庭时间,2017年5月
Q02694,原告,江苏省苏州市虎丘区人民法院,买卖合同纠纷,审理进度,立案时间,2014年10月
Q02695,原告,江苏省张家港市人民法院,买卖合同纠纷,审理进度,立案时间,2015年4月
Q02713,原告,江苏省太仓市人民法院,房屋租赁合同纠纷,开庭信息,开庭时间,2016年5月
Q02713,原告,江苏省太仓市人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年3月
Q02713,原告,江苏省张家港市人民法院,买卖合同纠纷,审理进度,立案时间,2015年1月
Q02718,申请人:原告,江苏省昆山市人民法院,,起诉状副本及开庭传票,送达时间,2017年11月
Q02718,原告,江苏省昆山市人民法院,行政案件,开庭信息,开庭时间,2016年9月
Q02729,当事人,上海市松江区人民法院,,诉状副本及开庭传票,送达时间,2015年9月
Q02729,被告/被上诉人,上海市松江区人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年9月
Q02737,被告,江苏省苏州市虎丘区人民法院,金融借款合同纠纷,审理进度,立案时间,2015年3月
Q02752,被申请人,昆山市劳动人事争议仲裁委员会,,开庭信息,开庭时间,2011年7月
Q02782,被申请人,苏州市相城区劳动人事争议仲裁委员会,劳动报酬,开庭信息,开庭时间,2012年10月
Q02787,原告,江苏省太仓市人民法院,民间借贷纠纷,开庭信息,开庭时间,2014年4月
Q02791,,浙江省新昌县人民法院,买卖合同纠纷,开庭信息,开庭时间,2015年9月
Q02791,被告,浙江省新昌县人民法院,,审理进度,立案时间,2015年9月
Q02791,原告,上海市嘉定区人民法院,买卖合同纠纷,开庭信息,开庭时间,2012年9月
