,小微企业ID,欠税税务机关,所欠税种,欠税余额(元)
929,Q63240,3,2,1.0
930,Q63246,1,5,1.0
931,Q63247,3,5,1.0
932,Q63268,4,6,2.0
933,Q63275,5,13,3.0
934,Q63308,1,4,1.0
935,Q63312,1,0,1.0
936,Q63323,1,5,1.0
937,Q63327,2,1,1.0
938,Q63334,8,12,4.0
939,Q63341,6,18,9.0
940,Q63348,1,3,1.0
941,Q63355,1,4,1.0
942,Q63364,1,5,1.0
943,Q63365,3,1,3.0
944,Q63366,3,3,1.0
945,Q63369,5,4,2.0
946,Q63375,6,15,3.0
947,Q63377,4,8,2.0
948,Q63378,2,1,1.0
949,Q63379,4,14,6.0
950,Q63380,4,13,3.0
951,Q63383,2,1,1.0
952,Q63396,1,5,1.0
953,Q63430,4,8,2.0
954,Q63435,3,5,1.0
955,Q63465,1,7,1.0
956,Q63479,3,5,1.0
957,Q63501,1,5,1.0
958,Q63545,2,9,2.0
959,Q63568,1,4,1.0
960,Q63575,5,9,3.0
961,Q63580,4,10,2.0
962,Q63609,6,9,2.0
963,Q63617,4,10,3.0
964,Q63619,3,1,1.0
965,Q63650,1,4,1.0
966,Q63652,1,3,1.0
967,Q63660,3,13,3.0
968,Q63671,3,8,1.0
969,Q63682,3,4,1.0
970,Q63706,1,8,1.0
971,Q63737,5,13,3.0
972,Q63741,4,4,7.0
973,Q63766,1,3,1.0
974,Q63812,7,14,3.0
975,Q63834,7,7,3.0
976,Q63837,1,5,1.0
977,Q63843,32,64,67.0
978,Q63851,3,4,1.0
979,Q63853,4,6,2.0
980,Q63858,2,1,1.0
981,Q63861,3,1,1.0
982,Q63862,6,6,3.0
983,Q63864,3,1,1.0
984,Q63865,3,1,1.0
985,Q63867,2,1,1.0
986,Q63868,2,1,1.0
987,Q63869,4,6,2.0
988,Q63871,13,24,6.0
989,Q63872,9,14,5.0
990,Q63874,3,3,1.0
991,Q63877,3,5,1.0
992,Q63905,3,4,1.0
993,Q63982,3,4,1.0
994,Q64009,1,5,1.0
995,Q64026,1,3,1.0
996,Q64086,4,5,3.0
997,Q64100,3,1,1.0
998,Q64111,6,15,3.0
999,Q64115,5,2,2.0
1000,Q64120,4,4,3.0
1001,Q64126,6,6,3.0
1002,Q64150,4,10,2.0
1003,Q64273,1,5,1.0
1004,Q64282,1,3,1.0
1005,Q64294,3,3,1.0
1006,Q64305,1,5,1.0
1007,Q64323,18,26,11.0
1008,Q64344,5,5,2.0
1009,Q64346,3,8,2.0
1010,Q64352,14,28,7.0
1011,Q64355,2,1,1.0
1012,Q64357,5,2,3.0
1013,Q64362,3,5,1.0
1014,Q64367,6,23,9.0
1015,Q64382,1,4,1.0
1016,Q64385,16,42,25.0
1017,Q64389,5,13,3.0
1018,Q64403,2,1,1.0
1019,Q64457,1,5,1.0
1020,Q64499,2,4,1.0
1021,Q64506,2,9,2.0
1022,Q64534,1,8,1.0
1023,Q64543,2,1,1.0
1024,Q64579,1,5,1.0
1025,Q64594,4,8,2.0
1026,Q64599,3,1,1.0
1027,Q64600,6,9,4.0
1028,Q64609,2,1,2.0
1029,Q64614,2,9,2.0
1030,Q64658,1,7,1.0
1031,Q64698,6,15,3.0
1032,Q64714,3,5,1.0
1033,Q64715,1,4,1.0
1034,Q64723,3,5,1.0
1035,Q64728,4,8,2.0
1036,Q64751,1,4,1.0
1037,Q64767,1,8,1.0
1038,Q64801,2,5,1.0
1039,Q64821,1,5,1.0
1040,Q64840,3,4,1.0
1041,Q64843,2,1,1.0
1042,Q64845,2,1,1.0
1043,Q64846,6,15,3.0
1044,Q64851,6,12,3.0
1045,Q64852,2,1,2.0
1046,Q64857,1,3,1.0
1047,Q64861,1,7,1.0
1048,Q64874,1,5,1.0
1049,Q64889,3,5,1.0
1050,Q64908,1,3,1.0
1051,Q64953,4,8,2.0
1052,Q64957,3,4,1.0
1053,Q65005,1,4,1.0
1054,Q65007,2,4,1.0
1055,Q65064,2,1,1.0
1056,Q65066,3,1,1.0
1057,Q65073,7,14,7.0
1058,Q65074,6,15,3.0
1059,Q65076,5,6,2.0
1060,Q65077,2,1,3.0
1061,Q65078,5,5,2.0
1062,Q65080,2,1,1.0
1063,Q65082,3,10,2.0
1064,Q65129,1,5,1.0
1065,Q65140,1,5,1.0
1066,Q65148,1,3,1.0
1067,Q65175,1,5,1.0
1068,Q65180,2,9,2.0
1069,Q65185,1,5,1.0
1070,Q65205,1,5,1.0
1071,Q65207,3,5,1.0
1072,Q65255,4,10,2.0
1073,Q65305,2,3,1.0
1074,Q65317,1,3,1.0
1075,Q65318,3,1,1.0
1076,Q65319,3,1,1.0
1077,Q65321,3,1,2.0
1078,Q65326,3,4,1.0
1079,Q65328,15,26,7.0
1080,Q65341,3,4,1.0
1081,Q65373,1,3,1.0
1082,Q65411,4,10,2.0
1083,Q65449,1,5,1.0
1084,Q65453,2,5,1.0
1085,Q65465,3,3,1.0
1086,Q65484,7,30,16.0
1087,Q65489,1,4,1.0
1088,Q65522,10,13,6.0
