,小微企业ID,注册资金(万元),企业(机构)类型,行业门类代码,从业人数,投资总额(万元)
3180,Q10467,0.0,11,13,0.0,0.0
3181,Q10468,0.0,0,0,6.0,0.0
3182,Q10469,1.0,0,6,17.0,0.0
3183,Q10471,0.0,0,0,12.0,0.0
3184,Q10473,1.0,2,0,14.0,0.0
3185,Q10474,1.0,2,1,1.0,0.0
3186,Q10479,0.0,1,4,5.0,0.0
3187,Q10482,0.0,0,4,2.0,0.0
3188,Q10486,1.0,0,0,7.0,0.0
3189,Q10487,0.0,0,4,8.0,0.0
3190,Q10488,1.0,0,7,10.0,0.0
3191,Q10493,1.0,0,7,94.0,0.0
3192,Q10494,0.0,0,0,6.0,0.0
3193,Q10499,0.0,0,0,13.0,0.0
3194,Q10504,0.0,0,6,6.0,0.0
3195,Q10506,0.0,1,0,5.0,0.0
3196,Q10508,0.0,0,0,3.0,0.0
3197,Q10510,0.0,11,6,0.0,0.0
3198,Q10511,0.0,0,4,10.0,0.0
3199,Q10515,0.0,2,4,7.0,0.0
3200,Q10524,2.0,0,0,7.0,0.0
3201,Q10525,8.0,0,1,8.0,0.0
3202,Q10527,0.0,0,4,7.0,0.0
3203,Q10529,0.0,2,1,1.0,0.0
3204,Q10530,3.0,5,6,2.0,0.0
3205,Q10535,0.0,2,4,3.0,0.0
3206,Q10536,0.0,0,0,9.0,0.0
3207,Q10542,0.0,2,6,1.0,0.0
3208,Q10548,0.0,0,3,10.0,0.0
3209,Q10551,1.0,2,4,3.0,0.0
3210,Q10555,0.0,0,5,5.0,0.0
3211,Q10556,0.0,2,5,5.0,0.0
3212,Q10560,0.0,0,0,17.0,0.0
3213,Q10562,0.0,0,4,10.0,0.0
3214,Q10568,0.0,0,0,13.0,0.0
3215,Q10570,1.0,1,4,3.0,0.0
3216,Q10579,4.0,10,0,0.0,7.0
3217,Q10583,0.0,0,4,3.0,0.0
3218,Q10589,0.0,0,4,2.0,0.0
3219,Q10591,0.0,2,0,1.0,0.0
3220,Q10600,0.0,2,0,40.0,0.0
3221,Q10606,0.0,2,4,3.0,0.0
3222,Q10612,1.0,9,0,15.0,1.0
3223,Q10616,1.0,0,0,9.0,0.0
3224,Q10617,0.0,0,4,2.0,0.0
3225,Q10618,0.0,0,0,0.0,0.0
3226,Q10620,0.0,2,0,1.0,0.0
3227,Q10622,0.0,1,3,2.0,0.0
3228,Q10626,0.0,0,7,0.0,0.0
3229,Q10628,0.0,0,4,10.0,0.0
3230,Q10636,0.0,0,4,5.0,0.0
3231,Q10638,0.0,1,4,6.0,0.0
3232,Q10639,1.0,0,0,10.0,0.0
3233,Q10642,0.0,2,0,1.0,0.0
3234,Q10648,1.0,0,0,35.0,0.0
3235,Q10652,0.0,2,0,9.0,0.0
3236,Q10655,0.0,0,4,6.0,0.0
3237,Q10656,0.0,0,1,4.0,0.0
3238,Q10660,0.0,0,6,4.0,0.0
3239,Q10662,0.0,2,0,2.0,0.0
3240,Q10664,0.0,0,0,3.0,0.0
3241,Q10667,0.0,2,0,4.0,0.0
3242,Q10668,0.0,2,0,6.0,0.0
3243,Q10671,0.0,0,0,5.0,0.0
3244,Q10673,0.0,0,3,8.0,0.0
3245,Q10678,0.0,0,4,2.0,0.0
3246,Q10680,0.0,2,4,3.0,0.0
3247,Q10683,0.0,2,0,2.0,0.0
3248,Q10684,0.0,1,7,2.0,0.0
3249,Q10686,7.0,14,2,0.0,0.0
3250,Q10687,0.0,0,0,12.0,0.0
3251,Q10691,1.0,0,4,7.0,0.0
3252,Q10694,1.0,7,0,0.0,1.0
3253,Q10695,1.0,0,7,8.0,0.0
3254,Q10697,0.0,0,0,5.0,0.0
3255,Q10699,0.0,1,4,6.0,0.0
3256,Q10702,0.0,0,4,5.0,0.0
3257,Q10704,0.0,0,0,11.0,0.0
3258,Q10705,0.0,0,7,5.0,0.0
3259,Q10707,2.0,0,0,2.0,0.0
3260,Q10708,0.0,0,6,3.0,0.0
3261,Q10712,0.0,2,0,9.0,0.0
3262,Q10713,0.0,0,5,3.0,0.0
3263,Q10717,0.0,11,1,0.0,0.0
3264,Q10718,0.0,0,5,0.0,0.0
3265,Q10720,0.0,0,0,12.0,0.0
3266,Q10721,1.0,8,0,0.0,2.0
3267,Q10723,1.0,0,0,5.0,0.0
3268,Q10725,0.0,0,6,3.0,0.0
3269,Q10727,0.0,0,4,14.0,0.0
3270,Q10729,0.0,0,2,12.0,0.0
3271,Q10732,0.0,0,4,4.0,0.0
3272,Q10738,1.0,0,6,0.0,0.0
3273,Q10739,0.0,0,3,3.0,0.0
3274,Q10740,1.0,0,0,10.0,0.0
3275,Q10746,0.0,1,0,6.0,0.0
3276,Q10749,0.0,2,4,5.0,0.0
3277,Q10751,0.0,0,6,7.0,0.0
3278,Q10752,0.0,2,4,2.0,0.0
3279,Q10754,0.0,0,0,32.0,0.0
3280,Q10755,0.0,2,0,16.0,0.0
3281,Q10757,0.0,0,4,6.0,0.0
3282,Q10758,0.0,8,0,0.0,0.0
3283,Q10760,4.0,14,6,0.0,0.0
3284,Q10763,0.0,0,4,5.0,0.0
3285,Q10764,0.0,2,4,1.0,0.0
3286,Q10769,0.0,0,1,0.0,0.0
3287,Q10777,0.0,11,3,0.0,0.0
3288,Q10778,0.0,1,4,3.0,0.0
3289,Q10779,0.0,11,3,0.0,0.0
3290,Q10783,0.0,0,0,6.0,0.0
3291,Q10786,0.0,0,3,5.0,0.0
3292,Q10787,0.0,0,0,0.0,0.0
3293,Q10790,0.0,1,0,18.0,0.0
3294,Q10791,0.0,0,4,10.0,0.0
3295,Q10794,0.0,0,7,5.0,0.0
3296,Q10795,5.0,0,1,31.0,0.0
3297,Q10796,0.0,2,0,2.0,0.0
3298,Q10797,1.0,0,4,8.0,0.0
3299,Q10800,0.0,0,4,7.0,0.0
3300,Q10805,0.0,0,0,12.0,0.0
3301,Q10808,0.0,0,0,10.0,0.0
3302,Q10809,0.0,0,6,8.0,0.0
3303,Q10814,3.0,1,0,22.0,0.0
3304,Q10817,2.0,20,0,25.0,0.0
3305,Q10820,0.0,0,0,4.0,0.0
3306,Q10826,1.0,2,7,3.0,0.0
3307,Q10827,0.0,2,0,2.0,0.0
3308,Q10829,0.0,0,6,1.0,0.0
3309,Q10831,0.0,0,6,8.0,0.0
3310,Q10832,0.0,1,7,10.0,0.0
3311,Q10834,1.0,1,7,19.0,0.0
3312,Q10837,0.0,0,4,7.0,0.0
3313,Q10838,0.0,0,0,30.0,0.0
3314,Q10840,0.0,0,4,7.0,0.0
3315,Q10848,0.0,2,1,4.0,0.0
3316,Q10857,0.0,1,0,5.0,0.0
3317,Q10858,1.0,0,0,13.0,0.0
3318,Q10863,1.0,0,0,64.0,0.0
3319,Q10867,0.0,2,0,19.0,0.0
3320,Q10872,1.0,3,0,0.0,1.0
3321,Q10886,0.0,0,0,8.0,0.0
3322,Q10887,0.0,0,4,12.0,0.0
3323,Q10892,1.0,2,0,11.0,0.0
3324,Q10894,0.0,0,0,2.0,0.0
3325,Q10896,0.0,2,4,9.0,0.0
3326,Q10903,0.0,0,0,2.0,0.0
3327,Q10909,0.0,0,7,6.0,0.0
3328,Q10910,0.0,1,3,12.0,0.0
3329,Q10912,0.0,0,1,7.0,0.0
3330,Q10913,1.0,0,4,32.0,0.0
3331,Q10917,1.0,9,0,0.0,1.0
3332,Q10923,1.0,0,0,7.0,0.0
3333,Q10932,0.0,1,0,20.0,0.0
3334,Q10935,0.0,0,4,7.0,0.0
3335,Q10936,0.0,0,4,8.0,0.0
3336,Q10938,0.0,0,0,10.0,0.0
3337,Q10941,0.0,0,0,5.0,0.0
3338,Q10943,0.0,2,4,1.0,0.0
3339,Q10953,0.0,2,0,0.0,0.0
3340,Q10954,1.0,0,2,10.0,0.0
3341,Q10957,1.0,1,4,12.0,0.0
3342,Q10958,0.0,10,0,0.0,0.0
3343,Q10961,0.0,8,0,0.0,0.0
3344,Q10966,1.0,2,4,4.0,0.0
3345,Q10967,1.0,0,3,5.0,0.0
3346,Q10968,0.0,1,4,7.0,0.0
3347,Q10973,0.0,2,6,9.0,0.0
3348,Q10975,0.0,0,7,10.0,0.0
3349,Q10977,0.0,0,0,0.0,0.0
3350,Q10978,4.0,0,7,0.0,0.0
3351,Q10984,0.0,1,0,5.0,0.0
3352,Q10986,0.0,0,3,10.0,0.0
3353,Q10988,1.0,20,4,10.0,0.0
3354,Q10992,0.0,0,4,10.0,0.0
3355,Q10996,0.0,0,0,18.0,0.0
3356,Q10998,0.0,0,4,12.0,0.0
3357,Q10999,0.0,0,4,10.0,0.0
3358,Q11002,0.0,0,2,10.0,0.0
3359,Q11004,0.0,0,4,4.0,0.0
3360,Q11009,0.0,1,4,9.0,0.0
3361,Q11010,0.0,1,3,3.0,0.0
3362,Q11018,1.0,0,6,8.0,0.0
3363,Q11020,0.0,0,4,4.0,0.0
3364,Q11024,0.0,0,0,5.0,0.0
3365,Q11028,0.0,0,4,23.0,0.0
3366,Q11034,1.0,9,4,0.0,1.0
3367,Q11037,0.0,0,0,7.0,0.0
3368,Q11039,0.0,1,6,7.0,0.0
3369,Q11040,0.0,1,0,7.0,0.0
3370,Q11044,0.0,1,4,8.0,0.0
3371,Q11047,0.0,0,0,16.0,0.0
3372,Q11054,0.0,0,4,2.0,0.0
3373,Q11058,0.0,0,0,17.0,0.0
3374,Q11064,0.0,0,7,10.0,0.0
3375,Q11067,1.0,0,0,54.0,0.0
3376,Q11072,1.0,1,4,10.0,0.0
3377,Q11074,1.0,2,0,7.0,0.0
3378,Q11076,1.0,2,7,19.0,0.0
3379,Q11084,0.0,0,0,8.0,0.0
3380,Q11086,0.0,0,4,2.0,0.0
3381,Q11088,0.0,2,0,10.0,0.0
3382,Q11102,0.0,0,0,8.0,0.0
3383,Q11104,0.0,0,0,37.0,0.0
3384,Q11109,0.0,0,4,2.0,0.0
3385,Q11111,0.0,1,0,2.0,0.0
3386,Q11113,0.0,2,5,9.0,0.0
3387,Q11117,0.0,0,0,15.0,0.0
3388,Q11118,1.0,0,4,30.0,0.0
3389,Q11123,0.0,0,0,12.0,0.0
3390,Q11124,0.0,3,0,0.0,0.0
3391,Q11126,1.0,0,4,7.0,0.0
3392,Q11135,0.0,0,0,8.0,0.0
3393,Q11136,0.0,0,0,14.0,0.0
3394,Q11139,0.0,0,0,7.0,0.0
3395,Q11140,0.0,0,4,9.0,0.0
3396,Q11141,0.0,0,0,17.0,0.0
3397,Q11145,0.0,1,0,6.0,0.0
3398,Q11149,0.0,0,2,12.0,0.0
3399,Q11153,0.0,2,0,10.0,0.0
3400,Q11157,0.0,1,4,17.0,0.0
3401,Q11158,0.0,0,4,6.0,0.0
3402,Q11159,0.0,2,6,4.0,0.0
3403,Q11160,0.0,0,0,8.0,0.0
3404,Q11162,0.0,0,1,10.0,0.0
3405,Q11163,0.0,0,4,7.0,0.0
3406,Q11165,1.0,1,4,13.0,0.0
3407,Q11168,1.0,0,0,5.0,0.0
3408,Q11172,0.0,1,0,7.0,0.0
3409,Q11173,0.0,0,0,10.0,0.0
3410,Q11174,0.0,0,0,7.0,0.0
3411,Q11180,4.0,10,0,0.0,4.0
3412,Q11184,0.0,0,0,9.0,0.0
3413,Q11186,0.0,0,6,5.0,0.0
3414,Q11189,0.0,2,4,2.0,0.0
3415,Q11191,1.0,13,1,0.0,1.0
3416,Q11194,0.0,0,0,3.0,0.0
3417,Q11195,1.0,0,6,5.0,0.0
3418,Q11202,0.0,0,4,11.0,0.0
3419,Q11203,1.0,2,0,5.0,0.0
3420,Q11206,0.0,0,4,6.0,0.0
3421,Q11208,1.0,0,0,2.0,0.0
3422,Q11217,0.0,1,0,23.0,0.0
3423,Q11218,0.0,1,4,9.0,0.0
3424,Q11220,0.0,29,6,0.0,0.0
3425,Q11222,0.0,0,4,3.0,0.0
3426,Q11224,0.0,0,0,11.0,0.0
3427,Q11227,0.0,2,0,2.0,0.0
3428,Q11228,0.0,0,1,0.0,0.0
3429,Q11231,1.0,1,0,3.0,0.0
3430,Q11232,0.0,1,0,19.0,0.0
3431,Q11237,0.0,2,0,8.0,0.0
3432,Q11241,0.0,0,4,10.0,0.0
3433,Q11242,0.0,0,0,8.0,0.0
3434,Q11245,0.0,0,0,4.0,0.0
3435,Q11247,1.0,2,0,6.0,0.0
3436,Q11250,0.0,0,0,4.0,0.0
3437,Q11252,0.0,0,4,6.0,0.0
3438,Q11254,0.0,0,0,16.0,0.0
3439,Q11262,0.0,8,0,0.0,0.0
3440,Q11264,0.0,2,3,2.0,0.0
3441,Q11268,0.0,0,0,12.0,0.0
3442,Q11269,0.0,2,7,6.0,0.0
3443,Q11275,0.0,0,0,10.0,0.0
3444,Q11277,0.0,0,0,12.0,0.0
3445,Q11279,0.0,0,0,16.0,0.0
3446,Q11284,0.0,0,0,14.0,0.0
3447,Q11285,0.0,0,4,4.0,0.0
3448,Q11286,5.0,9,0,0.0,8.0
3449,Q11290,1.0,2,0,9.0,0.0
3450,Q11295,0.0,0,0,10.0,0.0
3451,Q11296,0.0,0,0,6.0,0.0
3452,Q11302,0.0,0,4,3.0,0.0
3453,Q11303,1.0,0,0,8.0,0.0
3454,Q11304,0.0,0,0,8.0,0.0
3455,Q11309,0.0,0,0,7.0,0.0
3456,Q11315,0.0,2,4,4.0,0.0
3457,Q11318,0.0,2,0,10.0,0.0
3458,Q11320,0.0,11,1,0.0,0.0
3459,Q11323,0.0,1,6,10.0,0.0
3460,Q11324,0.0,0,4,5.0,0.0
3461,Q11325,0.0,2,4,1.0,0.0
3462,Q11326,0.0,1,4,7.0,0.0
3463,Q11329,0.0,1,4,7.0,0.0
3464,Q11330,0.0,0,4,4.0,0.0
3465,Q11331,0.0,0,0,10.0,0.0
3466,Q11333,0.0,0,0,13.0,0.0
3467,Q11335,0.0,0,2,4.0,0.0
3468,Q11340,0.0,0,6,3.0,0.0
3469,Q11341,0.0,0,4,5.0,0.0
3470,Q11347,0.0,2,4,3.0,0.0
3471,Q11350,1.0,1,4,9.0,0.0
3472,Q11351,0.0,1,0,8.0,0.0
3473,Q11353,2.0,0,7,0.0,0.0
3474,Q11354,0.0,10,4,0.0,0.0
3475,Q11357,1.0,1,0,14.0,0.0
3476,Q11362,5.0,0,13,15.0,0.0
3477,Q11364,1.0,1,0,10.0,0.0
3478,Q11370,0.0,1,4,10.0,0.0
3479,Q11372,1.0,2,3,1.0,0.0
3480,Q11373,2.0,2,16,14.0,0.0
3481,Q11378,0.0,0,4,4.0,0.0
3482,Q11380,1.0,2,0,7.0,0.0
3483,Q11382,2.0,0,0,33.0,0.0
3484,Q11383,0.0,2,4,2.0,0.0
3485,Q11384,0.0,2,4,2.0,0.0
3486,Q11385,0.0,0,7,5.0,0.0
3487,Q11387,0.0,0,0,21.0,0.0
3488,Q11391,0.0,2,4,2.0,0.0
3489,Q11392,0.0,0,0,5.0,0.0
3490,Q11393,0.0,2,4,3.0,0.0
3491,Q11404,0.0,1,4,21.0,0.0
3492,Q11407,0.0,0,4,6.0,0.0
3493,Q11408,0.0,0,0,10.0,0.0
3494,Q11411,1.0,14,4,0.0,0.0
3495,Q11412,0.0,1,4,4.0,0.0
3496,Q11413,0.0,0,4,4.0,0.0
3497,Q11414,0.0,2,0,6.0,0.0
3498,Q11415,0.0,0,11,10.0,0.0
3499,Q11416,0.0,1,4,20.0,0.0
3500,Q11420,5.0,0,1,0.0,0.0
3501,Q11423,1.0,0,0,38.0,0.0
3502,Q11424,0.0,2,0,0.0,0.0
3503,Q11429,0.0,2,3,5.0,0.0
3504,Q11433,0.0,2,4,5.0,0.0
3505,Q11435,1.0,0,0,14.0,0.0
3506,Q11441,0.0,0,4,7.0,0.0
3507,Q11442,0.0,17,0,0.0,0.0
3508,Q11446,0.0,0,0,10.0,0.0
3509,Q11447,0.0,0,0,10.0,0.0
3510,Q11448,0.0,0,0,10.0,0.0
3511,Q11449,0.0,0,4,10.0,0.0
3512,Q11455,0.0,2,3,3.0,0.0
3513,Q11461,0.0,0,0,20.0,0.0
3514,Q11466,0.0,2,4,9.0,0.0
3515,Q11468,0.0,0,0,3.0,0.0
3516,Q11482,0.0,0,4,4.0,0.0
3517,Q11486,7.0,0,3,0.0,0.0
3518,Q11487,0.0,0,0,8.0,0.0
3519,Q11492,1.0,9,0,0.0,1.0
3520,Q11493,0.0,0,4,3.0,0.0
3521,Q11499,0.0,0,4,6.0,0.0
3522,Q11504,1.0,0,4,7.0,0.0
3523,Q11507,1.0,0,7,4.0,0.0
3524,Q11508,1.0,0,6,8.0,0.0
3525,Q11511,2.0,1,0,48.0,0.0
3526,Q11517,0.0,11,6,0.0,0.0
3527,Q11518,1.0,1,4,500.0,0.0
3528,Q11520,1.0,0,0,10.0,0.0
3529,Q11526,1.0,1,6,4.0,0.0
3530,Q11529,1.0,0,0,17.0,0.0
3531,Q11530,1.0,0,0,2.0,0.0
3532,Q11531,3.0,9,7,0.0,6.0
3533,Q11534,0.0,2,4,3.0,0.0
3534,Q11543,1.0,0,0,9.0,0.0
3535,Q11545,0.0,0,5,0.0,0.0
3536,Q11546,0.0,0,4,7.0,0.0
3537,Q11549,4.0,0,6,0.0,0.0
3538,Q11553,0.0,2,0,6.0,0.0
3539,Q11554,3.0,9,0,0.0,6.0
3540,Q11555,1.0,0,4,4.0,0.0
3541,Q11556,1.0,4,0,0.0,1.0
3542,Q11557,1.0,9,0,0.0,1.0
3543,Q11560,0.0,2,1,5.0,0.0
3544,Q11562,2.0,0,8,11.0,0.0
3545,Q11566,1.0,0,2,4.0,0.0
3546,Q11574,0.0,0,4,15.0,0.0
3547,Q11578,1.0,9,0,0.0,2.0
3548,Q11580,0.0,1,4,4.0,0.0
3549,Q11581,2.0,1,0,7.0,0.0
3550,Q11585,1.0,9,0,0.0,1.0
3551,Q11587,1.0,20,4,0.0,1.0
3552,Q11589,0.0,1,4,2.0,0.0
3553,Q11594,0.0,0,4,12.0,0.0
3554,Q11601,6.0,0,1,0.0,0.0
3555,Q11605,0.0,2,6,7.0,0.0
3556,Q11615,0.0,2,4,4.0,0.0
3557,Q11619,0.0,0,0,30.0,0.0
3558,Q11621,0.0,0,3,2.0,0.0
3559,Q11629,1.0,1,0,2.0,0.0
3560,Q11630,2.0,0,0,77.0,0.0
3561,Q11638,0.0,1,0,9.0,0.0
3562,Q11641,0.0,1,4,10.0,0.0
3563,Q11644,0.0,2,3,5.0,0.0
3564,Q11650,0.0,2,4,2.0,0.0
3565,Q11651,0.0,0,4,8.0,0.0
3566,Q11653,0.0,0,4,6.0,0.0
3567,Q11654,0.0,0,0,4.0,0.0
3568,Q11655,1.0,1,3,3.0,0.0
3569,Q11657,0.0,0,4,2.0,0.0
3570,Q11658,0.0,0,4,5.0,0.0
3571,Q11660,0.0,0,0,11.0,0.0
3572,Q11673,0.0,0,7,12.0,0.0
3573,Q11674,0.0,0,0,4.0,0.0
3574,Q11677,0.0,0,0,2.0,0.0
3575,Q11679,0.0,2,0,7.0,0.0
3576,Q11680,0.0,0,4,16.0,0.0
3577,Q11686,0.0,0,4,2.0,0.0
3578,Q11687,0.0,0,1,10.0,0.0
3579,Q11689,0.0,1,0,10.0,0.0
3580,Q11692,2.0,14,0,17.0,0.0
3581,Q11693,0.0,0,11,3.0,0.0
3582,Q11695,3.0,3,0,0.0,5.0
3583,Q11697,3.0,0,0,0.0,0.0
3584,Q11699,1.0,1,0,5.0,0.0
3585,Q11702,0.0,1,0,2.0,0.0
3586,Q11706,0.0,2,0,11.0,0.0
3587,Q11707,0.0,2,4,4.0,0.0
3588,Q11708,0.0,0,0,38.0,0.0
3589,Q11718,0.0,0,4,12.0,0.0
3590,Q11719,0.0,2,0,6.0,0.0
3591,Q11720,0.0,1,6,10.0,0.0
3592,Q11721,0.0,0,7,8.0,0.0
3593,Q11722,0.0,9,7,0.0,0.0
3594,Q11723,0.0,0,0,32.0,0.0
3595,Q11724,0.0,8,0,0.0,0.0
3596,Q11725,0.0,0,6,8.0,0.0
3597,Q11736,0.0,2,0,17.0,0.0
3598,Q11739,0.0,2,3,5.0,0.0
3599,Q11740,1.0,0,3,24.0,0.0
3600,Q11746,0.0,0,4,5.0,0.0
3601,Q11751,4.0,16,0,0.0,7.0
3602,Q11756,0.0,0,0,8.0,0.0
3603,Q11759,0.0,0,7,11.0,0.0
3604,Q11761,0.0,0,4,24.0,0.0
3605,Q11767,0.0,1,5,2.0,0.0
3606,Q11768,0.0,0,4,0.0,0.0
3607,Q11770,0.0,2,7,6.0,0.0
3608,Q11775,0.0,0,4,2.0,0.0
3609,Q11778,0.0,0,0,20.0,0.0
3610,Q11781,0.0,0,0,16.0,0.0
3611,Q11782,0.0,8,0,0.0,0.0
3612,Q11783,0.0,0,6,6.0,0.0
3613,Q11786,3.0,0,4,77.0,0.0
3614,Q11789,0.0,0,4,6.0,0.0
3615,Q11796,0.0,2,5,2.0,0.0
3616,Q11801,0.0,0,0,2.0,0.0
3617,Q11803,0.0,0,4,12.0,0.0
3618,Q11804,0.0,1,4,10.0,0.0
3619,Q11805,0.0,0,4,4.0,0.0
3620,Q11806,0.0,0,7,7.0,0.0
3621,Q11810,0.0,0,4,5.0,0.0
3622,Q11812,3.0,0,6,0.0,0.0
3623,Q11815,5.0,0,6,0.0,0.0
3624,Q11825,0.0,0,0,12.0,0.0
3625,Q11826,1.0,0,1,10.0,0.0
3626,Q11827,0.0,0,0,29.0,0.0
3627,Q11829,1.0,0,0,1.0,0.0
3628,Q11831,1.0,0,4,22.0,0.0
3629,Q11832,1.0,0,0,20.0,0.0
3630,Q11838,0.0,0,4,7.0,0.0
3631,Q11843,0.0,0,2,2.0,0.0
3632,Q11845,0.0,0,0,12.0,0.0
3633,Q11849,0.0,0,0,45.0,0.0
3634,Q11856,1.0,1,0,19.0,0.0
3635,Q11860,0.0,0,0,10.0,0.0
3636,Q11863,0.0,0,1,20.0,0.0
3637,Q11867,2.0,2,0,16.0,0.0
3638,Q11872,0.0,2,0,6.0,0.0
3639,Q11875,1.0,1,0,20.0,0.0
3640,Q11878,0.0,2,0,0.0,0.0
3641,Q11881,0.0,0,1,32.0,0.0
3642,Q11889,3.0,0,0,2.0,0.0
3643,Q11890,1.0,2,0,29.0,0.0
3644,Q11895,0.0,0,0,2.0,0.0
3645,Q11907,0.0,0,6,0.0,0.0
3646,Q11908,0.0,0,0,0.0,0.0
3647,Q11927,4.0,0,0,15.0,0.0
3648,Q11928,0.0,0,4,0.0,0.0
3649,Q11930,0.0,0,0,9.0,0.0
3650,Q11932,0.0,2,0,11.0,0.0
3651,Q11933,0.0,8,4,0.0,0.0
3652,Q11935,0.0,0,6,9.0,0.0
3653,Q11937,0.0,0,0,10.0,0.0
3654,Q11938,0.0,1,4,0.0,0.0
3655,Q11939,0.0,0,4,6.0,0.0
3656,Q11940,0.0,0,0,8.0,0.0
3657,Q11947,5.0,9,0,0.0,9.0
3658,Q11951,1.0,8,0,0.0,1.0
3659,Q11952,0.0,0,4,8.0,0.0
3660,Q11953,1.0,7,7,0.0,1.0
3661,Q11954,0.0,0,0,10.0,0.0
3662,Q11955,0.0,0,7,10.0,0.0
3663,Q11957,0.0,0,6,8.0,0.0
3664,Q11958,0.0,21,2,0.0,0.0
3665,Q11960,0.0,0,0,6.0,0.0
3666,Q11967,0.0,0,4,3.0,0.0
3667,Q11970,0.0,0,4,6.0,0.0
3668,Q11972,3.0,0,0,20.0,0.0
3669,Q11976,0.0,1,0,14.0,0.0
3670,Q11983,0.0,0,4,5.0,0.0
3671,Q11990,0.0,0,7,10.0,0.0
3672,Q11991,0.0,0,0,3.0,0.0
3673,Q11995,1.0,0,7,23.0,0.0
3674,Q11999,0.0,0,0,10.0,0.0
3675,Q12000,0.0,1,4,7.0,0.0
3676,Q12003,1.0,0,0,8.0,0.0
3677,Q12009,0.0,0,0,12.0,0.0
3678,Q12012,0.0,0,4,7.0,0.0
3679,Q12014,1.0,0,0,8.0,0.0
3680,Q12016,1.0,19,0,0.0,0.0
3681,Q12018,0.0,0,0,10.0,0.0
3682,Q12027,0.0,2,4,1.0,0.0
3683,Q12029,0.0,0,0,7.0,0.0
3684,Q12030,3.0,0,0,227.0,0.0
3685,Q12033,0.0,1,0,11.0,0.0
3686,Q12041,0.0,0,0,8.0,0.0
3687,Q12042,0.0,0,6,2.0,0.0
3688,Q12044,0.0,0,0,38.0,0.0
3689,Q12047,0.0,2,4,9.0,0.0
3690,Q12048,0.0,0,7,4.0,0.0
3691,Q12055,1.0,0,0,5.0,0.0
3692,Q12056,0.0,0,0,4.0,0.0
3693,Q12057,0.0,10,0,0.0,0.0
3694,Q12058,0.0,0,4,0.0,0.0
3695,Q12063,0.0,2,7,9.0,0.0
3696,Q12068,0.0,0,4,5.0,0.0
3697,Q12070,2.0,0,1,0.0,0.0
3698,Q12071,0.0,0,4,7.0,0.0
3699,Q12073,0.0,9,0,0.0,0.0
3700,Q12077,0.0,1,7,5.0,0.0
3701,Q12085,1.0,0,6,7.0,0.0
3702,Q12090,0.0,0,0,23.0,0.0
3703,Q12092,0.0,1,0,10.0,0.0
3704,Q12095,0.0,2,6,8.0,0.0
3705,Q12096,2.0,12,4,0.0,0.0
3706,Q12113,0.0,1,0,7.0,0.0
3707,Q12116,0.0,0,0,12.0,0.0
3708,Q12117,3.0,0,0,7.0,0.0
3709,Q12121,0.0,2,4,3.0,0.0
3710,Q12122,1.0,0,4,7.0,0.0
3711,Q12126,0.0,0,0,8.0,0.0
3712,Q12130,0.0,2,4,3.0,0.0
3713,Q12133,0.0,0,0,7.0,0.0
3714,Q12135,0.0,2,11,4.0,0.0
3715,Q12143,0.0,0,2,8.0,0.0
3716,Q12153,0.0,0,1,11.0,0.0
3717,Q12156,0.0,0,4,0.0,0.0
3718,Q12162,2.0,0,0,0.0,0.0
3719,Q12165,0.0,2,0,1.0,0.0
3720,Q12166,0.0,2,7,4.0,0.0
3721,Q12167,0.0,0,0,11.0,0.0
3722,Q12168,0.0,0,0,7.0,0.0
3723,Q12171,0.0,0,4,8.0,0.0
3724,Q12174,5.0,10,2,0.0,9.0
3725,Q12177,0.0,0,0,20.0,0.0
3726,Q12178,2.0,10,0,0.0,2.0
3727,Q12179,0.0,20,0,0.0,0.0
3728,Q12181,1.0,0,0,21.0,0.0
3729,Q12184,0.0,0,0,33.0,0.0
3730,Q12186,1.0,2,2,5.0,0.0
3731,Q12187,0.0,1,0,4.0,0.0
3732,Q12191,3.0,9,0,0.0,5.0
3733,Q12192,0.0,0,6,113.0,0.0
3734,Q12195,1.0,0,0,4.0,0.0
3735,Q12197,1.0,0,2,4.0,0.0
3736,Q12202,0.0,0,4,6.0,0.0
3737,Q12205,0.0,0,0,15.0,0.0
3738,Q12208,1.0,0,4,10.0,0.0
3739,Q12210,0.0,0,0,12.0,0.0
3740,Q12211,1.0,1,4,2.0,0.0
3741,Q12214,0.0,0,0,20.0,0.0
3742,Q12216,0.0,2,4,7.0,0.0
3743,Q12219,0.0,0,5,5.0,0.0
3744,Q12220,0.0,12,0,0.0,0.0
3745,Q12222,0.0,0,0,4.0,0.0
3746,Q12223,2.0,0,4,3.0,0.0
3747,Q12227,0.0,0,0,32.0,0.0
3748,Q12229,0.0,2,4,6.0,0.0
3749,Q12237,2.0,1,4,4.0,0.0
3750,Q12238,0.0,1,0,11.0,0.0
3751,Q12239,0.0,14,4,0.0,0.0
3752,Q12240,0.0,1,0,10.0,0.0
3753,Q12248,1.0,9,0,0.0,1.0
3754,Q12254,2.0,0,0,67.0,0.0
3755,Q12255,1.0,0,0,12.0,0.0
3756,Q12259,0.0,0,0,10.0,0.0
3757,Q12260,0.0,0,4,8.0,0.0
3758,Q12269,0.0,1,7,2.0,0.0
3759,Q12271,0.0,0,4,2.0,0.0
3760,Q12272,1.0,9,0,0.0,1.0
